run_id,model,condition,seed,stage,step,benchmark,language,pass_at_1,maj_at_8,lang_consistency,avg_tokens,n_samples
a2_vi_42_step50,deepseek_r1_distill_15b,vi,42,grpo,50,aime2024,en,0.16666666666666666,0.3333333333333333,,4353.7,30
a2_vi_42_step50,deepseek_r1_distill_15b,vi,42,grpo,50,amc23,en,0.525,,,2841.95,40
a2_vi_42_step50,deepseek_r1_distill_15b,vi,42,grpo,50,math500,en,0.602,,,1918.33,500
a3_enlang_42_step50,deepseek_r1_distill_15b,enlang,42,grpo,50,aime2024,en,0.23333333333333334,0.36666666666666664,,4211.733333333334,30
a3_enlang_42_step50,deepseek_r1_distill_15b,enlang,42,grpo,50,amc23,en,0.525,,,2767.525,40
a3_enlang_42_step50,deepseek_r1_distill_15b,enlang,42,grpo,50,math500,en,0.606,,,1920.514,500
base_deepseek_r1_distill_15b,deepseek_r1_distill_15b,base,0,unknown,unknown,aime2024,en,0.16666666666666666,0.16666666666666666,,2197.233333333333,30
base_deepseek_r1_distill_15b,deepseek_r1_distill_15b,base,0,unknown,unknown,amc23,en,0.45,,,1744.5,40
base_deepseek_r1_distill_15b,deepseek_r1_distill_15b,base,0,unknown,unknown,math500,en,0.54,,,1193.742,500
base_v3,deepseek_r1_distill_15b,base,0,unknown,unknown,aime2024,en,0.26666666666666666,0.3333333333333333,,4144.633333333333,30
base_v3,deepseek_r1_distill_15b,base,0,unknown,unknown,amc23,en,0.5,,,2921.2,40
base_v3,deepseek_r1_distill_15b,base,0,unknown,unknown,math500,en,0.594,,,1921.974,500
ckpt50_v3,deepseek_r1_distill_15b,en,42,grpo,50,aime2024,en,0.1,0.3,,4118.5,30
ckpt50_v3,deepseek_r1_distill_15b,en,42,grpo,50,amc23,en,0.575,,,2831.025,40
ckpt50_v3,deepseek_r1_distill_15b,en,42,grpo,50,math500,en,0.588,,,1967.964,500
reproduce_openrs_rs2_42_step50_v2,unknown,unknown,unknown,grpo,50,aime2024,en,0.13333333333333333,0.16666666666666666,,2330.3,30
reproduce_openrs_rs2_42_step50_v2,unknown,unknown,unknown,grpo,50,amc23,en,0.35,,,1977.2,40
reproduce_openrs_rs2_42_step50_v2,unknown,unknown,unknown,grpo,50,math500,en,0.524,,,1465.618,500
